,Dataset,Layout,value
204,Seven Categories,"(BERT,X,MDS,X)",0.32
205,Seven Categories,"(LSI,+,MDS,-)",0.35
206,Seven Categories,"(NMF,+,MDS,-)",0.38
207,Seven Categories,"(VSM,-,MDS,X)",0.1
208,Seven Categories,"(NMF,-,MDS,-)",0.34
209,Seven Categories,"(LDA,X,MDS,-)",0.37
210,Seven Categories,"(NMF,-,MDS,+)",0.37
211,Seven Categories,"(LDA,X,MDS,+)",0.37
212,Seven Categories,"(NMF,+,MDS,+)",0.33
213,Seven Categories,"(LSI,-,MDS,+)",0.39
214,Seven Categories,"(LSI,+,MDS,+)",0.35
215,Seven Categories,"(VSM,+,SOM,X)",0.63
216,Seven Categories,"(LSI,-,SOM,-)",0.65
217,Seven Categories,"(BERT,X,SOM,X)",0.64
218,Seven Categories,"(LSI,+,SOM,-)",0.64
219,Seven Categories,"(NMF,+,SOM,-)",0.55
220,Seven Categories,"(VSM,-,SOM,X)",0.57
221,Seven Categories,"(NMF,-,SOM,-)",0.58
222,Seven Categories,"(LDA,X,SOM,-)",0.51
223,Seven Categories,"(NMF,-,SOM,+)",0.6
224,Seven Categories,"(LDA,X,SOM,+)",0.51
225,Seven Categories,"(NMF,+,SOM,+)",0.56
226,Seven Categories,"(LSI,-,SOM,+)",0.62
227,Seven Categories,"(LSI,+,SOM,+)",0.64
228,Seven Categories,"(VSM,+,UMAP,X)",0.72
229,Seven Categories,"(LSI,-,UMAP,-)",0.66
230,Seven Categories,"(BERT,X,UMAP,X)",0.68
231,Seven Categories,"(LSI,+,UMAP,-)",0.65
232,Seven Categories,"(NMF,+,UMAP,-)",0.62
233,Seven Categories,"(VSM,-,UMAP,X)",0.63
234,Seven Categories,"(NMF,-,UMAP,-)",0.66
235,Seven Categories,"(LDA,X,UMAP,-)",0.52
236,Seven Categories,"(NMF,-,UMAP,+)",0.68
237,Seven Categories,"(LDA,X,UMAP,+)",0.52
238,Seven Categories,"(NMF,+,UMAP,+)",0.63
239,Seven Categories,"(LSI,-,UMAP,+)",0.66
240,Seven Categories,"(LSI,+,UMAP,+)",0.66
241,Seven Categories,"(VSM,+,TSNE,X)",0.8
242,Seven Categories,"(LSI,-,TSNE,-)",0.66
243,Seven Categories,"(BERT,X,TSNE,X)",0.65
244,Seven Categories,"(LSI,+,TSNE,-)",0.63
245,Seven Categories,"(NMF,+,TSNE,-)",0.65
246,Seven Categories,"(VSM,-,TSNE,X)",0.71
247,Seven Categories,"(NMF,-,TSNE,-)",0.7
248,Seven Categories,"(LDA,X,TSNE,-)",0.54
249,Seven Categories,"(NMF,-,TSNE,+)",0.71
250,Seven Categories,"(LDA,X,TSNE,+)",0.54
251,Seven Categories,"(NMF,+,TSNE,+)",0.65
252,Seven Categories,"(LSI,-,TSNE,+)",0.64
253,Seven Categories,"(LSI,+,TSNE,+)",0.61
254,GitHub,"(NMF,+,SOM,+)",-1.0
255,GitHub,"(BERT,X,UMAP,X)",-1.0
256,GitHub,"(BERT,X,MDS,X)",-1.0
257,GitHub,"(LDA,X,SOM,+)",-1.0
258,GitHub,"(BERT,X,TSNE,X)",-1.0
259,GitHub,"(BERT,X,SOM,X)",-1.0
