,Dataset,Layout,value
152,Reuters,"(BERT,X,MDS,X)",0.43
153,Reuters,"(LSI,+,MDS,-)",0.43
154,Reuters,"(NMF,+,MDS,-)",0.43
155,Reuters,"(VSM,-,MDS,X)",0.43
156,Reuters,"(NMF,-,MDS,-)",0.43
157,Reuters,"(LDA,X,MDS,-)",0.46
158,Reuters,"(NMF,-,MDS,+)",0.43
159,Reuters,"(LDA,X,MDS,+)",0.43
160,Reuters,"(NMF,+,MDS,+)",0.42
161,Reuters,"(LSI,-,MDS,+)",0.43
162,Reuters,"(LSI,+,MDS,+)",0.43
163,Reuters,"(VSM,+,SOM,X)",0.55
164,Reuters,"(LSI,-,SOM,-)",0.56
165,Reuters,"(BERT,X,SOM,X)",0.57
166,Reuters,"(LSI,+,SOM,-)",0.57
167,Reuters,"(NMF,+,SOM,-)",0.56
168,Reuters,"(VSM,-,SOM,X)",0.54
169,Reuters,"(NMF,-,SOM,-)",0.58
170,Reuters,"(LDA,X,SOM,-)",0.57
171,Reuters,"(NMF,-,SOM,+)",0.6
172,Reuters,"(LDA,X,SOM,+)",0.6
173,Reuters,"(NMF,+,SOM,+)",0.6
174,Reuters,"(LSI,-,SOM,+)",0.56
175,Reuters,"(LSI,+,SOM,+)",0.58
176,Reuters,"(VSM,+,UMAP,X)",0.6
177,Reuters,"(LSI,-,UMAP,-)",0.64
178,Reuters,"(BERT,X,UMAP,X)",0.62
179,Reuters,"(LSI,+,UMAP,-)",0.63
180,Reuters,"(NMF,+,UMAP,-)",0.64
181,Reuters,"(VSM,-,UMAP,X)",0.6
182,Reuters,"(NMF,-,UMAP,-)",0.65
183,Reuters,"(LDA,X,UMAP,-)",0.64
184,Reuters,"(NMF,-,UMAP,+)",0.65
185,Reuters,"(LDA,X,UMAP,+)",0.65
186,Reuters,"(NMF,+,UMAP,+)",0.65
187,Reuters,"(LSI,-,UMAP,+)",0.64
188,Reuters,"(LSI,+,UMAP,+)",0.63
189,Reuters,"(VSM,+,TSNE,X)",0.61
190,Reuters,"(LSI,-,TSNE,-)",0.64
191,Reuters,"(BERT,X,TSNE,X)",0.63
192,Reuters,"(LSI,+,TSNE,-)",0.64
193,Reuters,"(NMF,+,TSNE,-)",0.64
194,Reuters,"(VSM,-,TSNE,X)",0.63
195,Reuters,"(NMF,-,TSNE,-)",0.64
196,Reuters,"(LDA,X,TSNE,-)",0.63
197,Reuters,"(NMF,-,TSNE,+)",0.65
198,Reuters,"(LDA,X,TSNE,+)",0.66
199,Reuters,"(NMF,+,TSNE,+)",0.64
200,Reuters,"(LSI,-,TSNE,+)",0.64
201,Reuters,"(LSI,+,TSNE,+)",0.64
202,Seven Categories,"(VSM,+,MDS,X)",0.41
203,Seven Categories,"(LSI,-,MDS,-)",0.41
204,Seven Categories,"(BERT,X,MDS,X)",0.41
205,Seven Categories,"(LSI,+,MDS,-)",0.42
206,Seven Categories,"(NMF,+,MDS,-)",0.4
207,Seven Categories,"(VSM,-,MDS,X)",0.39
208,Seven Categories,"(NMF,-,MDS,-)",0.4
209,Seven Categories,"(LDA,X,MDS,-)",0.41
210,Seven Categories,"(NMF,-,MDS,+)",0.4
211,Seven Categories,"(LDA,X,MDS,+)",0.41
212,Seven Categories,"(NMF,+,MDS,+)",0.4
213,Seven Categories,"(LSI,-,MDS,+)",0.41
214,Seven Categories,"(LSI,+,MDS,+)",0.42
215,Seven Categories,"(VSM,+,SOM,X)",0.74
216,Seven Categories,"(LSI,-,SOM,-)",0.74
217,Seven Categories,"(BERT,X,SOM,X)",0.75
218,Seven Categories,"(LSI,+,SOM,-)",0.76
219,Seven Categories,"(NMF,+,SOM,-)",0.73
220,Seven Categories,"(VSM,-,SOM,X)",0.7
221,Seven Categories,"(NMF,-,SOM,-)",0.73
222,Seven Categories,"(LDA,X,SOM,-)",0.68
223,Seven Categories,"(NMF,-,SOM,+)",0.74
224,Seven Categories,"(LDA,X,SOM,+)",0.7
225,Seven Categories,"(NMF,+,SOM,+)",0.74
226,Seven Categories,"(LSI,-,SOM,+)",0.74
227,Seven Categories,"(LSI,+,SOM,+)",0.76
228,Seven Categories,"(VSM,+,UMAP,X)",0.76
229,Seven Categories,"(LSI,-,UMAP,-)",0.76
230,Seven Categories,"(BERT,X,UMAP,X)",0.76
231,Seven Categories,"(LSI,+,UMAP,-)",0.78
232,Seven Categories,"(NMF,+,UMAP,-)",0.76
233,Seven Categories,"(VSM,-,UMAP,X)",0.73
234,Seven Categories,"(NMF,-,UMAP,-)",0.75
235,Seven Categories,"(LDA,X,UMAP,-)",0.71
236,Seven Categories,"(NMF,-,UMAP,+)",0.76
237,Seven Categories,"(LDA,X,UMAP,+)",0.73
238,Seven Categories,"(NMF,+,UMAP,+)",0.76
239,Seven Categories,"(LSI,-,UMAP,+)",0.76
240,Seven Categories,"(LSI,+,UMAP,+)",0.78
241,Seven Categories,"(VSM,+,TSNE,X)",0.77
242,Seven Categories,"(LSI,-,TSNE,-)",0.78
243,Seven Categories,"(BERT,X,TSNE,X)",0.77
244,Seven Categories,"(LSI,+,TSNE,-)",0.78
245,Seven Categories,"(NMF,+,TSNE,-)",0.76
246,Seven Categories,"(VSM,-,TSNE,X)",0.77
247,Seven Categories,"(NMF,-,TSNE,-)",0.76
248,Seven Categories,"(LDA,X,TSNE,-)",0.73
249,Seven Categories,"(NMF,-,TSNE,+)",0.77
250,Seven Categories,"(LDA,X,TSNE,+)",0.73
251,Seven Categories,"(NMF,+,TSNE,+)",0.77
252,Seven Categories,"(LSI,-,TSNE,+)",0.78
253,Seven Categories,"(LSI,+,TSNE,+)",0.78
254,GitHub,"(NMF,+,SOM,+)",-1.0
255,GitHub,"(BERT,X,UMAP,X)",-1.0
256,GitHub,"(BERT,X,MDS,X)",-1.0
257,GitHub,"(LDA,X,SOM,+)",-1.0
258,GitHub,"(BERT,X,TSNE,X)",-1.0
259,GitHub,"(BERT,X,SOM,X)",-1.0
